Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot_Cases,Deaths,Total_Tests,Tests,population ,Median_Age,population_density,world_economy_GDP ,hospital_beds
Gabon,367,6,93,268,165,3,724,325,2.23,23,9,13.86,13
Palestine,362,2,102,258,71,0.4,"32,200","6,312",5.1,21,847,13.4,0
Venezuela,357,10,158,189,13,0.4,"482,953","16,984",28.44,30,32,291.38,13
Mauritius,332,10,316,6,261,8,"18,398","14,466",1.27,37,626,12.22,34
Isle of Man,325,23,271,31,"3,822",270,"3,339","39,267",0.09,0,149,0,0
Montenegro,323,8,253,62,514,13,"7,816","12,445",0.63,39,47,4.37,42.53
Equatorial Guinea,315,3,13,299,225,2,854,609,1.4,22,50,10.68,21
Vietnam,271,,219,52,3,,"261,004","2,681",97.34,32,314,205.28,25.6
Rwanda,261,,128,133,20,,"35,096","2,710",12.95,20,525,8.47,16
Congo,236,10,26,200,43,2,,,5.52,19,16,7.78,16
Tajikistan,230,3,,227,24,0.3,,,9.54,22,68,6.95,65.39
Faeroe Islands,187,,185,2,"3,827",,"8,066","165,074",0.05,0,35,0,0
Martinique,181,14,83,84,482,37,,,0.38,47,354,0,0
Sierra Leone,178,9,37,132,22,1,,,7.96,19,111,3.67,4
Cabo Verde,175,2,37,136,315,4,791,"1,423",0.56,28,138,1.64,21
Liberia,166,18,58,90,33,4,,,5.06,19,53,2.76,8
Myanmar,161,6,49,106,3,0.1,"9,025",166,54.41,29,83,65.7,9
Guadeloupe,152,12,98,42,380,30,,,0.4,44,237,0,0
Madagascar,149,,99,50,5,,"3,772",136,27.69,20,48,11.22,3
Gibraltar,144,,133,11,"4,274",,"2,931","86,997",0.03,0,"3,368",0,0
Ethiopia,140,3,75,62,1,0.03,"24,088",210,114.96,19,115,70.31,3.12
Brunei,138,1,130,7,315,2,"14,476","33,090",0.44,32,83,11.4,27.4
Zambia,137,3,78,56,7,0.2,"7,277",396,18.38,18,25,21.06,20
French Guiana,133,1,100,32,445,3,,,0.3,25,4,1.12,0
Togo,126,9,74,43,15,1,"7,891",953,8.28,19,152,4.45,9
Cambodia,122,,120,2,7,,"12,378",740,16.72,26,95,20.02,8.33
Chad,117,10,39,68,7,0.6,,,16.43,17,13,11.27,4
Trinidad and Tobago,116,8,99,9,83,6,"2,012","1,438",1.4,36,273,24.09,30
Eswatini,116,1,12,103,100,0.9,714,615,1.16,21,67,0,21
Bermuda,115,7,54,54,"1,847",112,"3,270","52,507",0.06,0,"1,246",6.13,0
Haiti,100,11,10,79,9,1,"1,026",90,11.4,24,414,7.65,7
Aruba,100,2,81,17,937,19,"1,758","16,466",0.11,41,593,2.67,0
Uganda,97,,55,42,2,,"41,478",907,45.74,17,229,25.31,5
Benin,96,2,50,44,8,0.2,,,12.13,19,108,8.89,5
Monaco,95,4,78,13,"2,421",102,,,0.04,0,"26,337",6.47,0
Guyana,92,9,27,56,117,11,579,736,0.77,27,4,3.44,25
CAR,85,,10,75,18,,"3,498",724,4.83,18,8,1.81,12
Bahamas,83,11,25,47,211,28,"1,391","3,537",0.39,32,39,11.26,32
Barbados,82,7,46,29,285,24,"2,458","8,553",0.29,40,668,4.55,68
Liechtenstein,82,1,55,26,"2,151",26,900,"23,605",0.04,0,238,6.19,0
Mozambique,80,,19,61,3,,"2,466",79,31.26,18,40,10.93,8
Sint Maarten,76,13,44,19,"1,773",303,329,"7,673",0.04,0,"1,261",1.07,0
Cayman Islands,75,1,14,60,"1,141",15,"2,528","38,465",0.07,0,274,3.84,0
Nepal,75,,16,59,3,,"63,102","2,166",29.14,25,203,20.91,3
Libya,63,3,23,37,9,0.4,"2,338",340,6.87,29,4,42.96,41.2
French Polynesia,58,,51,7,206,,"2,657","9,459",0.28,34,77,5.42,0
South Sudan,46,,,46,4,,"1,247",111,11.19,19,18,6.53,8.1
Macao,45,,39,6,69,,,,0.65,39,"21,645",45.31,0
Syria,44,3,27,14,3,0.2,,,17.5,26,95,22.16,15.4
Malawi,41,3,9,29,2,0.2,907,47,19.13,18,203,5.32,13
Mongolia,40,,12,28,12,,"8,250","2,517",3.28,28,2,11.16,70
Eritrea,39,,26,13,11,,,,3.55,19,35,5.41,12
Saint Martin,38,3,29,6,983,78,,,0.04,0,730,0,0
Angola,35,2,11,22,1,0.06,"3,000",91,32.87,17,26,106.92,8
Zimbabwe,34,4,5,25,2,0.3,"7,642",514,14.86,19,38,16.12,30
Antigua and Barbuda,25,3,15,7,255,31,151,"1,542",0.1,34,223,1.46,39
Timor-Leste,24,,20,4,18,,664,504,1.31,21,89,2.7,59
Sao Tome and Principe,23,3,4,16,105,14,175,799,0.22,19,228,0.343,32
Botswana,23,1,8,14,10,0.4,"8,636","3,672",2.35,24,4,15.57,18
Grenada,21,,13,8,187,,"1,406","12,495",0.11,32,331,1.02,37
Laos,19,,9,10,3,,"2,223",306,7.28,24,32,15.81,15
Belize,18,2,13,3,45,5,"1,043","2,623",0.4,25,17,1.74,13
Fiji,18,,14,4,20,,"1,007","1,123",0.9,28,49,4.67,23
New Caledonia,18,,17,1,63,,"4,947","17,328",0.29,34,16,9.45,0
Saint Lucia,18,,15,3,98,,446,"2,429",0.18,34,301,1.4,16
Gambia,17,1,9,7,7,0.4,401,166,2.42,18,239,0.986,11
St. Vincent Grenadines,17,,9,8,153,,137,"1,235",0.11,33,284,0.765,27
Curaçao,16,1,13,2,98,6,351,"2,139",0.17,42,370,3.12,0
Dominica,16,,13,3,222,,383,"5,320",0.07,0,96,0.581,17
Namibia,16,,8,8,6,,"1,122",442,2.54,22,3,10.95,27
Nicaragua,15,5,7,3,2,0.8,,,6.63,26,55,13.23,11
Burundi,15,1,7,7,1,0.08,284,24,11.89,17,463,2.87,19
Saint Kitts and Nevis,15,,8,7,282,,294,"5,526",0.05,0,205,0.91,0
Falkland Islands,13,,13,0,"3,736",,388,"111,494",0.01,0,0,0,0
Yemen,12,2,1,9,0.4,0.07,120,4,29.83,20,56,25.37,7.2
Turks and Caicos,12,1,6,5,310,26,107,"2,764",0.04,0,41,0.918,26.61
Montserrat,11,1,7,3,"2,204",200,36,"7,212",0.01,0,50,0.062,0
Greenland,11,,11,0,194,,"1,294","22,794",0.06,0,0,2.28,0
Seychelles,11,,6,5,112,,,,0.1,34,214,1.43,39
Suriname,10,1,9,0,17,2,404,689,0.59,29,4,3.28,31
Mauritania,8,1,6,1,2,0.2,"1,032",222,4.65,20,5,4.67,4
Papua New Guinea,8,,6,2,0.9,,"2,402",268,8.95,22,20,19.69,0
Bhutan,7,,5,2,9,,"10,980","14,230",0.77,28,20,2.21,17.4
British Virgin Islands,6,1,3,2,198,33,,,0.03,0,202,0.971,0
Caribbean Netherlands,6,,,6,229,,110,"4,195",0.03,0,80,0,0
St. Barth,6,,6,0,607,,,,0.01,0,470,0,0
Western Sahara,6,,5,1,10,,,,0.6,28,2,0,0
Anguilla,3,,3,0,200,,,,0.02,0,167,0.338,0
Comoros,3,,,3,3,,,,0.87,20,467,1.15,22
Saint Pierre Miquelon,1,,,1,173,,,,0.01,0,25,0,0
Total:,"3,639,616","251,721","1,192,842","2,195,053",466.9,32.3,"39,171,660","2,811,614","7,797.67",28,"105,961",75928,5742.82
